IATA,City,Country,Latitude,Longitude
YQL,Lethbridge,Canada,49.63029861,-112.8000031
YQM,Moncton,Canada,46.11220169,-64.6785965
YQQ,Comox,Canada,49.71080017,-124.887001
YQR,Regina,Canada,50.43190002,-104.6660004
YQT,Thunder Bay,Canada,48.37189865,-89.32389832
YQU,Grande Prairie,Canada,55.17969894,-118.8850021
YQV,Yorkton,Canada,51.26470184,-102.461998
YQW,North Battleford,Canada,52.76919937,-108.2440033
YQX,Gander,Canada,48.93690109,-54.56809998
YQY,Sydney,Canada,46.1614,-60.047798
YQZ,Quesnel,Canada,53.02610016,-122.5100021
YRB,Resolute,Canada,74.71690369,-94.9693985
YRI,Riviere Du Loup,Canada,47.76440048,-69.58470154
YRJ,Roberval,Canada,48.52000046,-72.26560211
YRM,Rocky Mountain House,Canada,52.42969894,-114.9039993
YRT,Rankin Inlet,Canada,62.81140137,-92.11579895
YSB,Sudbury,Canada,46.625,-80.79889679
YSC,Sherbrooke,Canada,45.43859863,-71.69139862
YSJ,St. John,Canada,45.31610107,-65.89029694
YSM,Fort Smith,Canada,60.02030182,-111.961998
YSR,Nanisivik,Canada,72.982201,-84.613602
YSU,Summerside,Canada,46.44060135,-63.83359909
YSY,Sachs Harbour,Canada,71.99389648,-125.2429962
YTE,Cape Dorset,Canada,64.23000336,-76.52670288
YTH,Thompson,Canada,55.80110168,-97.86419678
YTR,Trenton,Canada,44.1189003,-77.52809906
YTS,Timmins,Canada,48.56969833,-81.37670136
YTZ,Toronto,Canada,43.627499,-79.396202
YUB,Tuktoyaktuk,Canada,69.4332962,-133.026001
YUL,Montreal,Canada,45.47060013,-73.74079895
YUT,Repulse Bay,Canada,66.52140045,-86.22470093
YUX,Hall Beach,Canada,68.77610016,-81.2425
YUY,Rouyn,Canada,48.20610046,-78.83560181
YVC,La Ronge,Canada,55.15140152,-105.262001
YVG,Vermillion,Canada,53.35580063,-110.8239975
YVM,Broughton Island,Canada,67.54579926,-64.03140259
YVO,Val D'or,Canada,48.05329895,-77.78279877
YVP,Quujjuaq,Canada,58.09609985,-68.42690277
YVQ,Norman Wells,Canada,65.28160095,-126.7979965
YVR,Vancouver,Canada,49.19390106,-123.1839981
YVT,Buffalo Narrows,Canada,55.84189987,-108.4179993
YVV,Wiarton,Canada,44.7458,-81.107201
YWA,Petawawa,Canada,45.95220184,-77.31919861
YWG,Winnipeg,Canada,49.90999985,-97.23989868
YWK,Wabush,Canada,52.9219017,-66.86440277
YWL,Williams Lake,Canada,52.18310165,-122.0540009
YWY,Wrigley,Canada,63.20940018,-123.4369965
YXC,Cranbrook,Canada,49.6108017,-115.7819977
YXD,Edmonton,Canada,53.57249832,-113.5210037
YXE,Saskatoon,Canada,52.17079926,-106.6999969
YXH,Medicine Hat,Canada,50.01890182,-110.7210007
YXJ,Fort Saint John,Canada,56.23809814,-120.7399979
YXL,Sioux Lookout,Canada,50.11389923,-91.90529633
YXP,Pangnirtung,Canada,66.14499664,-65.71360016
YXR,Earlton,Canada,47.69740065,-79.84734535
YXS,Prince George,Canada,53.88940048,-122.6790009
YXT,Terrace,Canada,54.468498,-128.576009
YXU,London,Canada,43.035599,-81.1539
YXX,Abbotsford,Canada,49.02529907,-122.3610001
YXY,Whitehorse,Canada,60.70959854,-135.0670013
YYB,North Bay,Canada,46.363602,-79.422798
YYC,Calgary,Canada,51.11389923,-114.0199966
YYD,Smithers,Canada,54.8246994,-127.1829987
YYE,Fort Nelson,Canada,58.83639908,-122.5970001
YYF,Penticton,Canada,49.46310043,-119.6019974
YYG,Charlottetown,Canada,46.29000092,-63.12110138
YYH,Spence Bay,Canada,69.54669952,-93.5766983
YYJ,Victoria,Canada,48.64690018,-123.4260025
YYL,Lynn Lake,Canada,56.86389923,-101.0759964
YYN,Swift Current,Canada,50.29190063,-107.6910019
YYQ,Churchill,Canada,58.73920059,-94.06500244
YYR,Goose Bay,Canada,53.31919861,-60.42580032
YYT,St. John's,Canada,47.61859894,-52.75189972
YYU,Kapuskasing,Canada,49.41389847,-82.46749878
YYW,Armstrong,Canada,50.29029846,-88.90969849
YYY,Mont Joli,Canada,48.60860062,-68.20809937
YYZ,Toronto,Canada,43.67720032,-79.63059998
YZD,Toronto,Canada,43.74250031,-79.46559906
YZE,Gore Bay,Canada,45.88529968,-82.56780243
YZF,Yellowknife,Canada,62.46279907,-114.4400024
YZH,Slave Lake,Canada,55.29309845,-114.7770004
YZP,Sandspit,Canada,53.25429916,-131.8139954
YZR,Sarnia,Canada,42.99940109,-82.30889893
YZT,Port Hardy,Canada,50.68059921,-127.3669968
YZU,Whitecourt,Canada,54.14390182,-115.7870026
YZV,Sept-iles,Canada,50.22330093,-66.26560211
YZW,Teslin,Canada,60.17279816,-132.7429962
YZX,Greenwood,Canada,44.9844017,-64.91690063
ZFA,Faro,Canada,62.20750046,-133.3760071
ZFM,Fort Mcpherson,Canada,67.40750122,-134.8609924
QLD,Blida,Algeria,36.50360107,2.814169884
BUJ,Bou Saada,Algeria,35.33250046,4.206389904
BJA,Bejaja,Algeria,36.7120018,5.069920063
ALG,Algier,Algeria,36.69100189,3.215409994
DJG,Djanet,Algeria,24.292801,9.45244
\N,Boufarik,Algeria,36.545799,2.87611
\N,Reggan,Algeria,26.7101,0.285647
VVZ,Illizi,Algeria,26.7234993,8.622650146
\N,Ain Oussera,Algeria,35.52539825,2.878710032
TMR,Tamanrasset,Algeria,22.81150055,5.451079845
GJL,Jijel,Algeria,36.79510117,5.87361002
MZW,Mecheria,Algeria,33.53590012,-0.242353007
\N,Relizane,Algeria,35.752201,0.626272
AAE,Annaba,Algeria,36.822201,7.809174
CZL,Constantine,Algeria,36.27600098,6.620389938
TEE,Tebessa,Algeria,35.43159866,8.12071991
HRM,Tilrempt,Algeria,32.93040085,3.311539888
TID,Tiaret,Algeria,35.34109879,1.463150024
\N,Bou Sfer,Algeria,35.73540115,-0.805388987
TIN,Tindouf,Algeria,27.7003994,-8.167099953
CFK,Ech-cheliff,Algeria,36.21269989,1.331769943
TAF,Oran,Algeria,35.54240036,-0.532278001
TLM,Tlemcen,Algeria,35.01670074,-1.450000048
ORN,Oran,Algeria,35.62390137,-0.621182978
BFW,Sidi Bel Abbes,Algeria,35.17179871,-0.593275011
MUW,Ghriss,Algeria,35.20769882,0.147141993
AZR,Adrar,Algeria,27.83760071,-0.186414003
BSK,Biskra,Algeria,34.79330063,5.738230228
ELG,El Golea,Algeria,30.57130051,2.859590054
GHA,Ghardaia,Algeria,32.38410187,3.79411006
HME,Hassi Messaoud,Algeria,31.67300034,6.140439987
INZ,In Salah,Algeria,27.25099945,2.512020111
TGR,Touggourt,Algeria,33.06779861,6.088669777
LOO,Laghouat,Algeria,33.76440048,2.928339958
TMX,Timimoun,Algeria,29.2371006,0.276033014
OGX,Ouargla,Algeria,31.91720009,5.412779808
IAM,Zarzaitine,Algeria,28.0515,9.64291
COO,Cotonou,Benin,6.357230186,2.384350061
OUA,Ouagadougou,Burkina Faso,12.3532,-1.51242
BOY,Bobo-dioulasso,Burkina Faso,11.16009998,-4.33096981
ACC,Accra,Ghana,5.6051898,-0.166786
TML,Tamale,Ghana,9.557189941,-0.863214016
\N,Wa,Ghana,10.08269978,-2.507689953
NYI,Sunyani,Ghana,7.361830235,-2.328759909
TKD,Takoradi,Ghana,4.89605999,-1.774760008
ABJ,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035
BYK,Bouake,Cote d'Ivoire,7.738800049,-5.07366991
DJO,Daloa,Cote d'Ivoire,6.792809963,-6.473189831
HGO,Korhogo,Cote d'Ivoire,9.387180328,-5.556660175
MJC,Man,Cote d'Ivoire,7.272069931,-7.587359905
SPY,San Pedro,Cote d'Ivoire,4.746719837,-6.660820007
ASK,Yamoussoukro,Cote d'Ivoire,6.903170109,-5.365580082
ABV,Abuja,Nigeria,9.006790161,7.263169765
AKR,Akure,Nigeria,7.246739864,5.301010132
BNI,Benin,Nigeria,6.316979885,5.599500179
CBQ,Calabar,Nigeria,4.976019859,8.347200394
ENU,Enugu,Nigeria,6.474269867,7.56196022
\N,Gusau,Nigeria,12.1717,6.69611
IBA,Ibadan,Nigeria,7.362460136,3.978329897
ILR,Ilorin,Nigeria,8.440210342,4.493919849
JOS,Jos,Nigeria,9.639829636,8.869050026
KAD,Kaduna,Nigeria,10.6960001,7.320109844
KAN,Kano,Nigeria,12.0476,8.52462
MIU,Maiduguri,Nigeria,11.85529995,13.08090019
MDI,Makurdi,Nigeria,7.70388,8.61394
LOS,Lagos,Nigeria,6.577370167,3.321160078
MXJ,Minna,Nigeria,9.652170181,6.462259769
PHC,Port Hartcourt,Nigeria,5.015490055,6.949590206
SKO,Sokoto,Nigeria,12.91629982,5.207190037
YOL,Yola,Nigeria,9.25755024,12.43039989
ZAR,Zaria,Nigeria,11.1302,7.68581
MFQ,Maradi,Niger,13.50249958,7.126749992
NIM,Niamey,Niger,13.4815,2.18361
THZ,Tahoua,Niger,14.8757,5.265359879
AJY,Agadez,Niger,16.9659996,8.000109673
\N,Dirkou,Niger,18.96870041,12.86870003
\N,Diffa,Niger,13.37290001,12.6267004
ZND,Zinder,Niger,13.77900028,8.98375988
MIR,Monastir,Tunisia,35.7580986,10.75469971
TUN,Tunis,Tunisia,36.85100174,10.22719955
\N,Bizerte,Tunisia,37.245398,9.79145
\N,Remada,Tunisia,32.30619812,10.38210011
GAF,Gafsa,Tunisia,34.42200089,8.822500229
GAE,Gabes,Tunisia,33.87689972,10.10330009
\N,Bordj El Amri,Tunisia,36.72129822,9.943149567
DJE,Djerba,Tunisia,33.875,10.7755003
EBM,El Borma,Tunisia,31.70429993,9.254619598
SFA,Sfax,Tunisia,34.7179985,10.69099998
TOE,Tozeur,Tunisia,33.93970108,8.110560417
LRL,Niatougou,Togo,9.76733017,1.091249943
LFW,Lome,Togo,6.165609837,1.254510045
ANR,Antwerp,Belgium,51.18939972,4.460279942
\N,Beauvechain,Belgium,50.75859833,4.768330097
\N,Kleine Brogel,Belgium,51.168301,5.47
BRU,Brussels,Belgium,50.90140152,4.48443985
\N,Bertrix,Belgium,49.89170074,5.223889828
CRL,Charleroi,Belgium,50.459202,4.45382
\N,Chievres,Belgium,50.57580185,3.83100009
\N,Koksijde,Belgium,51.09030151,2.652780056
\N,Florennes,Belgium,50.24330139,4.645830154
KJK,Kortrijk-vevelgem,Belgium,50.81719971,3.20472002
LGG,Liege,Belgium,50.63740158,5.443220139
OST,Ostend,Belgium,51.19889832,2.862220049
\N,Zutendaal,Belgium,50.94749832,5.590559959
\N,Sint-truiden,Belgium,50.791901,5.20167
\N,St.-hubert,Belgium,50.03440094,5.440810204
\N,Ursel,Belgium,51.14419937,3.47555995
\N,Weelde,Belgium,51.39479828,4.960189819
OBL,Zoersel,Belgium,51.264702,4.75333
\N,Bautzen,Germany,51.193611,14.519722
AOC,Altenburg,Germany,50.981945,12.506389
\N,Dessau,Germany,51.831694,12.190962
\N,Eisenhuettenstadt,Germany,52.195856,14.58753
\N,Suhl,Germany,51.30805588,13.5555563
\N,Muehlhausen,Germany,51.3630556,11.9408333
\N,Halle,Germany,51.552223,12.053889
IES,Riesa,Germany,51.29360962,13.35611057
REB,Rechlin-laerz,Germany,53.30638886,12.75222206
\N,Strausberg,Germany,52.58055496,13.91666698
QXH,Schoenhagen,Germany,52.203609,13.156389
BBH,Barth,Germany,54.338253,12.710515
\N,Jena,Germany,50.915279,11.714444
\N,Kyritz,Germany,52.91888809,12.42527771
ZMG,Magdeburg,Germany,52.073612,11.626389
\N,Rothenburg/ol,Germany,51.36333466,14.94999981
\N,Anklam,Germany,53.832779,13.668611
CBU,Cottbus,Germany,51.889442,14.531944
\N,Kamenz,Germany,51.29694366,14.12749958
SXF,Berlin,Germany,52.380001,13.5225
DRS,Dresden,Germany,51.13280106,13.76720047
ERF,Erfurt,Germany,50.97980118,10.95810032
FRA,Frankfurt,Germany,50.033333,8.570556
FMO,Munster,Germany,52.13460159,7.684830189
HAM,Hamburg,Germany,53.63040161,9.988229752
THF,Berlin,Germany,52.47299957,13.40390015
CGN,Cologne,Germany,50.86589813,7.142739773
DUS,Duesseldorf,Germany,51.289501,6.76678
MUC,Munich,Germany,48.353802,11.7861
NUE,Nuernberg,Germany,49.498699,11.078056
LEJ,Leipzig,Germany,51.423889,12.236389
SCN,Saarbruecken,Germany,49.21459961,7.109509945
STR,Stuttgart,Germany,48.68989944,9.221960068
TXL,Berlin,Germany,52.5597,13.2877
HAJ,Hannover,Germany,52.46110153,9.685079575
BRE,Bremen,Germany,53.04750061,8.786669731
QEF,Egelsbach,Germany,49.959999,8.645833
HHN,Hahn,Germany,49.9487,7.26389
MHG,Mannheim,Germany,49.473057,8.514167
\N,Allendorf,Germany,51.03499985,8.680832863
\N,Worms,Germany,49.606945,8.368333
\N,Mainz,Germany,49.967499,8.147222
EIB,Eisenach,Germany,50.991604,10.47973
SGE,Siegerland,Germany,50.70769882,8.082969666
XFW,Hamburg,Germany,53.53527832,9.83555603
KEL,Kiel,Germany,54.37944412,10.14527798
LBC,Luebeck,Germany,53.80540085,10.71920013
\N,Dahlemer Binz,Germany,50.40555573,6.528889179
\N,Meinerzhagen,Germany,51.09999847,7.599999905
\N,Arnsberg,Germany,51.48389053,7.898333073
ESS,Essen,Germany,51.40230179,6.937329769
BFE,Bielefeld,Germany,51.964722,8.544444
MGL,Moenchengladbach,Germany,51.230278,6.504444
PAD,Paderborn,Germany,51.61410141,8.616319656
\N,Stadtlohn,Germany,51.99583435,6.840556145
DTM,Dortmund,Germany,51.5182991,7.612239838
AGB,Augsburg,Germany,48.425278,10.931667
\N,Biberach,Germany,48.111111,9.762778
\N,Eggenfelden,Germany,48.39611053,12.72361088
\N,Mindelheim,Germany,48.106945,10.525
OBF,Oberpfaffenhofen,Germany,48.081402,11.2831
RBM,Straubing,Germany,48.90083313,12.51666737
\N,Vilshofen,Germany,48.63499832,13.19555569
\N,Leutkirch,Germany,47.85889053,10.01416683
FDH,Friedrichshafen,Germany,47.67129898,9.511489868
SZW,Parchim,Germany,53.426998,11.7834
\N,Stendal,Germany,52.62888718,11.81861115
\N,Aalen-heidenheim,Germany,48.77777863,10.26472187
BYU,Bayreuth,Germany,49.985001,11.64
URD,Burg Feuerstein,Germany,49.79416656,11.13361073
HOQ,Hof,Germany,50.28861237,11.85638905
\N,Hassfurt,Germany,50.01805496,10.52944374
\N,Koblenz,Germany,50.325558,7.528611
\N,Trier,Germany,49.863888,6.7875
\N,Speyer,Germany,49.304722,8.451389
ZQW,Zweibruecken,Germany,49.2094,7.40056
ZQL,Donaueschingen,Germany,47.97333145,8.522221565
\N,Freiburg,Germany,48.02277756,7.832499981
\N,Mengen,Germany,48.05389023,9.372777939
\N,Schwaebisch Hall,Germany,49.11833191,9.783888817
\N,Soest,Germany,51.607498,13.743611
BWE,Braunschweig,Germany,52.319199,10.5561
KSF,Kassel,Germany,51.417273,9.384967
\N,Hildesheim,Germany,52.18138885,9.946389198
BRV,Bremerhaven,Germany,53.506943,8.572778
EME,Emden,Germany,53.391109,7.2275
\N,Leer,Germany,53.27194214,7.44166708
WVN,Wilhelmshaven,Germany,53.50222015,8.052222252
BMK,Borkum,Germany,53.59639,6.709167
NRD,Norderney,Germany,53.70694351,7.230000019
FLF,Flensburg,Germany,54.7733345,9.378889084
\N,Rendsburg,Germany,54.22000122,9.599444389
GWT,Westerland,Germany,54.91320038,8.340470314
\N,Armari Air Force Base,Estonia,59.26029968,24.20849991
KDL,Kardla,Estonia,58.99079895,22.83069992
URE,Kuressaare,Estonia,58.22990036,22.5095005
EPU,Parnu,Estonia,58.41899872,24.4727993
TLL,Tallinn-ulemiste International,Estonia,59.41329956,24.83279991
TAY,Tartu,Estonia,58.30749893,26.69039917
ENF,Enontekio,Finland,68.36260223,23.42429924
\N,Eura,Finland,61.11610031,22.20140076
KEV,Halli,Finland,61.856039,24.786686
HEM,Helsinki,Finland,60.25460052,25.0428009
HEL,Helsinki,Finland,60.31719971,24.9633007
\N,Hameenkyro,Finland,61.68970108,23.07369995
\N,Hanko,Finland,59.84889984,23.08359909
HYV,Hyvinkaa,Finland,60.65439987,24.8810997
\N,Kikala,Finland,60.46250153,23.65250015
\N,Immola,Finland,61.24919891,28.90369987
KTQ,Kitee,Finland,62.1661,30.073601
IVL,Ivalo,Finland,68.6072998,27.40530014
JOE,Joensuu,Finland,62.66289902,29.60750008
JYV,Jyvaskyla,Finland,62.3995018,25.67830086
KAU,Kauhava,Finland,63.127102,23.051399
KEM,Kemi,Finland,65.77870178,24.58209991
KAJ,Kajaani,Finland,64.28549957,27.69239998
KHJ,Kauhajoki,Finland,62.46250153,22.39310074
KOK,Kruunupyy,Finland,63.72119904,23.14310074
\N,Kemijarvi,Finland,66.712898,27.156799
KAO,Kuusamo,Finland,65.98760223,29.23940086
KTT,Kittila,Finland,67.7009964,24.84679985
KUO,Kuopio,Finland,63.00709915,27.79780006
QLF,Vesivehmaa,Finland,61.144199,25.693501
LPP,Lappeenranta,Finland,61.044601,28.144743
MHQ,Mariehamn,Finland,60.12220001,19.89819908
\N,Menkijarvi,Finland,62.94670105,23.51889992
MIK,Mikkeli,Finland,61.6866,27.201799
\N,Nummela,Finland,60.33390045,24.29640007
OUL,Oulu,Finland,64.93009949,25.35460091
\N,Piikajarvi,Finland,61.24560165,22.19339943
POR,Pori,Finland,61.46170044,21.79999924
\N,Pudasjarvi,Finland,65.40219879,26.94689941
\N,Pyhasalmi,Finland,63.73189926,25.92630005
\N,Pattijoki,Finland,64.68810272,24.69580078
\N,Rantasalmi,Finland,62.06549835,28.35650063
RVN,Rovaniemi,Finland,66.56479645,25.83040047
\N,Rayskala,Finland,60.74470139,24.10779953
SVL,Savonlinna,Finland,61.94309998,28.94510078
\N,Selanpaa,Finland,61.06240082,26.7989006
SOT,Sodankyla,Finland,67.39499664,26.61910057
TMP,Tampere,Finland,61.41410065,23.60440063
\N,Teisko,Finland,61.7733,24.027
TKU,Turku,Finland,60.51409912,22.26280022
UTI,Utti,Finland,60.89640045,26.93840027
VAA,Vaasa,Finland,63.05070114,21.7621994
VRK,Varkaus,Finland,62.17110062,27.86860085
YLI,Ylivieska-raudaskyla,Finland,64.0547222,24.7252778
BFS,Belfast,United Kingdom,54.65750122,-6.215829849
ENK,Enniskillen,United Kingdom,54.39889908,-7.651669979
BHD,Belfast,United Kingdom,54.61809921,-5.872499943
LDY,Londonderry,United Kingdom,55.0428009,-7.161109924
BHX,Birmingham,United Kingdom,52.45389938,-1.748029947
CVT,Coventry,United Kingdom,52.36970139,-1.479719996
\N,Leicester,United Kingdom,52.60779953,-1.031939983
GLO,Golouchestershire,United Kingdom,51.89419937,-2.167220116
\N,Halfpenny Green,United Kingdom,52.51750183,-2.259439945
GBA,Pailton,United Kingdom,51.668095,-2.05694
\N,Turweston,United Kingdom,52.04079819,-1.095559955
\N,Wellesbourne,United Kingdom,52.19219971,-1.614439964
MAN,Manchester,United Kingdom,53.35369873,-2.274950027
\N,Woodfort,United Kingdom,53.3381,-2.14889
\N,Chivenor,United Kingdom,51.08720016,-4.15034008
NQY,Newquai,United Kingdom,50.44060135,-4.995409966
LYE,Lyneham,United Kingdom,51.5051,-1.99343
\N,Boscombe Down,United Kingdom,51.15219879,-1.747410059
\N,Culdrose,United Kingdom,50.08610153,-5.255710125
\N,St. Athan,United Kingdom,51.4048,-3.43575
YEO,Yeovilton,United Kingdom,51.00939941,-2.638819933
HAW,Haverfordwest,United Kingdom,51.83309937,-4.961110115
CWL,Cardiff,United Kingdom,51.39670181,-3.343329906
SWS,Swansea,United Kingdom,51.6053009,-4.067830086
BRS,Bristol,United Kingdom,51.382702,-2.71909
LPL,Liverpool,United Kingdom,53.33359909,-2.849720001
LTN,London,United Kingdom,51.87469864,-0.368333012
PLH,Plymouth,United Kingdom,50.422798,-4.10583
BOH,Bournemouth,United Kingdom,50.77999878,-1.842499971
SOU,Southampton,United Kingdom,50.95029831,-1.35679996
QLA,Lasham,United Kingdom,51.18719864,-1.033499956
ACI,Alderney,Guernsey,49.706104,-2.21472
GCI,Guernsey,Guernsey,49.43500137,-2.601969957
JER,Jersey,Jersey,49.207901,-2.195509911
ESH,Shoreham By Sea,United Kingdom,50.835602,-0.297222
BQH,Biggin Hill,United Kingdom,51.3307991,0.032499999
LGW,London,United Kingdom,51.148102,-0.190278
LCY,London,United Kingdom,51.505299,0.055278
FAB,Farnborough,United Kingdom,51.2757988,-0.776332974
\N,Chalsgrove,United Kingdom,51.67610168,-1.080829978
BBS,Blackbushe,United Kingdom,51.32389832,-0.847500026
LHR,London,United Kingdom,51.4706,-0.461941
SEN,Southend,United Kingdom,51.57139969,0.695555985
LYX,Lydd,United Kingdom,50.95610046,0.939167023
MSE,Manston,United Kingdom,51.342201,1.34611
\N,Brough,United Kingdom,53.7197,-0.566333
CAX,Carlisle,United Kingdom,54.9375,-2.809170008
\N,Repton,United Kingdom,53.2806015,-0.951389015
BLK,Blackpool,United Kingdom,53.77170181,-3.028609991
HUY,Humberside,United Kingdom,53.57440186,-0.350832999
BWF,Barrow Island,United Kingdom,54.1286111,-3.2675
LBA,Leeds,United Kingdom,53.86589813,-1.660570025
WRT,Warton,United Kingdom,53.745098,-2.88306
CEG,Hawarden,United Kingdom,53.17810059,-2.977780104
IOM,Isle Of Man,Isle of Man,54.08330154,-4.623889923
NCL,Newcastle,United Kingdom,55.03749847,-1.691669941
